id,petition_no,pdf_url,scraped_at
1c0ec2df5a0ee7a0,APPEAL No. 88 of 2017 & IA Nos. 1759 & 1760 of 2025,https://aptel.gov.in/sites/default/files/2026-05/Order%20in%20Appeal%20No.%2088%20of%202017.pdf,2026-05-11T10:01:29.675053
3561e63a3ba9e87a,REVIEW PETITION NO.28 OF 2025 in APPEAL NOs.107 OF 2022 & 312 OF 2022,https://aptel.gov.in/sites/default/files/2026-05/RP%2028%20OF%202025.pdf,2026-05-11T10:01:32.606300
d5a90357c834ff72,APPEAL No. 430 of 2019 & APPEAL No. 416 of 2022,https://aptel.gov.in/sites/default/files/2026-05/430%20of%202019%20%26%20Batch.pdf,2026-05-11T10:01:35.742860
3a10de23cb0eb889,APL No. 284 OF 2021,https://aptel.gov.in/sites/default/files/2026-05/APL%20284%20OF%202021.pdf,2026-05-11T10:01:38.642683
7da72bd883bf8b18,APPEAL No.190 of 2019 APPEAL No.216 of 2019,https://aptel.gov.in/sites/default/files/2026-04/APL%20190%20%26%20216%20of%202019.pdf,2026-05-11T10:01:41.911850
00f0083deec970dc,APPEAL No. 227 of 2025 & IA No. 1092 of 2025,https://aptel.gov.in/sites/default/files/2026-04/Judgment%20in%20Appeal%20No.%20227%20of%202025.pdf,2026-05-11T10:01:45.672142
945378f2655fc012,APPEAL No. 15 OF 2018,https://aptel.gov.in/sites/default/files/2026-04/April%2017-%20%20FINAL%20%20Judgment%20in%20APL%2015%20of%202018%20%281%29%20%281%29.pdf,2026-05-11T10:01:48.153179
d98b58fe130e33a9,OP No. 1 OF 2025 & IA No. 1403 OF 2025 & IA No. 499 OF 2026 & IA No. 568 OF 2026 & IA No. 1404 OF 2025 & IA No. 1532 OF 2025 & IA No. 1610 OF 2025 & IA No. 1747 OF 2025 & IA No. 172 OF 2026 & IA No. 245 OF 2026 & IA No. 309 OF 2026,https://aptel.gov.in/sites/default/files/2026-04/O.P.pdf,2026-05-11T10:01:50.991118
a23bb97ab27e7d4f,APPEAL NO.20 OF 2021,https://aptel.gov.in/sites/default/files/2026-04/APL%2020%20of%202021.pdf,2026-05-11T10:01:53.552284
08bc4a3c2ee85aa7,APPEAL No. 309 of 2018,https://aptel.gov.in/sites/default/files/2026-04/A%20309%20of%202018.pdf,2026-05-11T10:01:56.159522
f300459210650008,APPEAL No. 322 of 2021,https://aptel.gov.in/sites/default/files/2026-04/APL%20322%20of%202021.pdf,2026-05-11T10:01:58.951683
530fac3c7093b2f7,APPEAL No. 48 OF 2021,https://aptel.gov.in/sites/default/files/2026-04/April10%20-%20%20Final%20Judgment%20in%20APL%2048%20of%202021.pdf,2026-05-11T10:02:01.430195
6fe81edb86114896,R.P. No. 5 of 2025 in Appeal No. 126 of 2022,https://aptel.gov.in/sites/default/files/2026-04/RP%205%20of%202025.pdf,2026-05-11T10:02:03.775201
ab260510c5a98114,APPEAL No. 119 of 2019,https://aptel.gov.in/sites/default/files/2026-04/A%20119%20of%202019.pdf,2026-05-11T10:02:06.559964
46a6fac5d50a2be7,APPEAL No. 242 of 2019,https://aptel.gov.in/sites/default/files/2026-04/APL%20242%20of%202019.pdf,2026-05-11T10:02:09.301971
9e994e6eb90d1b39,APPEAL No. 334 OF 2017,https://aptel.gov.in/sites/default/files/2026-04/Final%20Judgment%20APL%20334%20of%202017%20%28FINAL%29.pdf,2026-05-11T10:02:11.747876
669ec6968110cb70,APPEAL NO. 107 of 2019 & IA No. 1754 of 2019 & APPEAL No. 166 of 2020,https://aptel.gov.in/sites/default/files/2026-03/Judgment%20in%20Appeal%20Nos.%20107%20of%202019%20and%20166%20of%202020.pdf,2026-05-11T10:02:15.270578
3f2b0b943377cf2a,"APPEAL NO. 296 OF 2022, APPEAL NO. 297 OF 2022 & APPEAL NO. 298 OF 2022",https://aptel.gov.in/sites/default/files/2026-03/Judgment%20in%20Appeal%20No.%20296%20of%202022%20and%20batch.pdf,2026-05-11T10:02:18.873008
4f0c4958383572b6,APPEAL No. 286 OF 2015 & APPEAL No.328 OF 2016,https://aptel.gov.in/sites/default/files/2026-03/March20-%20Judgment%20%20in%20APL%20286%20of%202015%20%26%20328%20of%202016%20%281%29.pdf,2026-05-11T10:02:22.188004
9bef3f0c9902737b,IA NO.726 OF 2025 & IA NO. 804 OF 2025 IN APPEAL NO. 123 OF 2017 IA NO. 730 OF 2025 & IA NO. 806 OF 2025 IN APPEAL NO. 256 OF 2017 IA NO. 728 OF 2025 & IA NO. 805 OF 2025 IN APPEAL NO. 143 OF 2018 IA NO.729 OF 2025 & IA NO. 799 OF 2025 IN APPEAL NO. 142 OF 2020 IA NO.731 OF 2025 & IA NO. 797 OF 2025 IN APPEAL NO. 255 OF 2017,https://aptel.gov.in/sites/default/files/2026-03/APL%20123%20of%202017%20%26%20Batch%20APL%20142%20of%202020%20and%20255%20of%202017%20-%20Order%20in%20IAs%20-DVC.pdf,2026-05-11T10:02:25.000944
6862b8d2182aca34,APPEAL No. 58 OF 2020,https://aptel.gov.in/sites/default/files/2026-03/March%2010-%20%20Judgment%20Apl%20No.58%20of%202020.pdf,2026-05-11T10:02:27.727098
77e9fa15d2e34c2c,APPEAL No. 128 of 2021,https://aptel.gov.in/sites/default/files/2026-03/App%20-%20128%20of%202021.pdf,2026-05-11T10:02:30.393861
59b665f97dac969c,APPEAL NO. 221 OF 2018 & APPEAL NO. 298 OF 2018,https://aptel.gov.in/sites/default/files/2026-04/judgement%20of%20221%20of%20.pdf,2026-05-11T10:02:34.207937
dd45665a50aa1d76,APPEAL No. 279 OF 2017,https://aptel.gov.in/sites/default/files/2026-03/March%20%2011-%20Judgment%20in%20APL%20279%20of%202017.pdf,2026-05-11T10:02:37.594855
28677641a7151897,APPEAL NO.100 OF 2019,https://aptel.gov.in/sites/default/files/2026-03/APL%20100%20of%202019.pdf,2026-05-11T10:02:42.161894
55bf6ce9976c8623,APPEAL No. 79 OF 2017,https://aptel.gov.in/sites/default/files/2026-03/march%2006-%20final%20Judgment%20%20in%20APL%2079%20of%202017.pdf,2026-05-11T10:02:45.933947
1559718298df38c6,APPEAL NO.327 OF 2021 & IA No.1237 OF 2025,https://aptel.gov.in/sites/default/files/2026-03/APL%20327%20of%202021.pdf,2026-05-11T10:03:02.540617
9d14147861365bb3,APPEAL No. 15 of 2022,https://aptel.gov.in/sites/default/files/2026-03/App%20-%2015%20of%202022.pdf,2026-05-11T10:03:04.900083
e812c7fa6a1d0286,REVIEW PETITION NO. 03 OF 2026,https://aptel.gov.in/sites/default/files/2026-02/Order%20in%20RP%2003%20of%202026-%20feb26.pdf,2026-05-11T10:03:18.558039
fd5d4597967f5d81,APPEAL NO. 348 OF 2025 & IA NO. 1797 OF 2025 APPEAL NO. 371 OF 2025 & IA NO. 1850 OF 2025 and APPEAL NO. 400 OF 2025 & IA NO. 1946 OF 2025,https://aptel.gov.in/sites/default/files/2026-02/JUDGMENT%20IN%20APPEAL%20NO.%20348%20OF%202025%20dtd%2025-02-2026_0.pdf,2026-05-11T10:03:22.984712
068f7457eb46b246,OP No. 1 of 2018,https://aptel.gov.in/sites/default/files/2026-02/O.P.%20No.%201%20of%202018.pdf,2026-05-11T10:03:25.721253
ae717d1f031b25ef,APPEAL No. 104 of 2018,https://aptel.gov.in/sites/default/files/2026-02/App%20-%20104%20of%202018.pdf,2026-05-11T10:03:27.943448
90b686304d74acc7,APPEAL No. 362 of 2025 & IA No. 1464 of 2025,https://aptel.gov.in/sites/default/files/2026-02/Draft%20of%20Judgment%20in%20Appeal%20No.%20362%20of%202025.pdf,2026-05-11T10:03:32.449024
68cc3bca5fe701fb,APPEAL NO. 298 OF 2025 & IA NO. 1300 OF 2025 & IA NO. 1600 OF 2025 & IA NO. 1879 OF 2025 & IA NO. 1979 OF 2025 & IA NO. 1991 OF 2025,https://aptel.gov.in/sites/default/files/2026-02/JUDGEMENT%20IN%20APL%20298%20OF%202025%20dtd%2013-02-2026.pdf,2026-05-11T10:03:36.906984
cc205a688908215e,APPEAL No. 260 OF 2017 & APPEAL No. 264 OF 2017,https://aptel.gov.in/sites/default/files/2026-02/Feb%2002-judgement-%20APL%20260%20of%202017%20%26%20264%20of%202017%20%281%29%20%281%29.pdf,2026-05-11T10:03:40.253882
12527c429d9cdbff,APPEAL No. 30 of 2022,https://aptel.gov.in/sites/default/files/2026-02/App%20-%2030%20of%202022.pdf,2026-05-11T10:03:42.996909
0586d29c75e1256e,APPEAL NO. 54 OF 2020,https://aptel.gov.in/sites/default/files/2026-02/APL%2054%20of%202020.pdf,2026-05-11T10:03:45.925620
509e576cda43f941,APPEAL NO. 04 OF 2020,https://aptel.gov.in/sites/default/files/2026-02/APL%2004%20of%202020.pdf,2026-05-11T10:03:49.816410
bd645b2011fe44f0,APL No. 375 of 2019,https://aptel.gov.in/sites/default/files/2026-01/Final%20judgement%20in%20APL%20375%20of%202019.pdf,2026-05-11T10:03:52.226339
80b8778212f73071,R.P. No. 23 of 2025 in Apl No. 286 of 2017,https://aptel.gov.in/sites/default/files/2026-01/RP%2023%20of%202025%20%26%20Apl%20%20286%20of%202017.pdf,2026-05-11T10:03:55.072695
2f318042c4374e82,R.P. No. 19 of 2025 in Apl No. 286 of 2017,https://aptel.gov.in/sites/default/files/2026-01/RP%2019%20of%202025%20%26%20Apl%20%20286%20of%202017.pdf,2026-05-11T10:03:57.785308
9db9be5c16f5c451,APL No. 399 OF 2019,https://aptel.gov.in/sites/default/files/2026-01/13.1.2026%20Final%20Judgment%20Appeal%20No.399%20of%202019.pdf,2026-05-11T10:04:00.177515
53882baf3a435c1a,APPEAL No. 237 OF 2019 & APPEAL No. 368 OF 2022,https://aptel.gov.in/sites/default/files/2026-01/Jan13-26%20Final%20-Judgement-APL%20237%20of%202019%20%26%20368%202022%20For%20consideration.pdf,2026-05-11T10:04:05.967102
efd881c0db17aeab,APPEAL NO.105 OF 2018 & IA No.32 OF 2018,https://aptel.gov.in/sites/default/files/2026-01/Apl%20105%20of%202018.pdf,2026-05-11T10:04:08.134439
adb1ec0346e72055,APPEAL No. 323 of 2025 & IA No. 1467 of 2025,https://aptel.gov.in/sites/default/files/2026-01/Draft%20of%20Judgment%20in%20Appeal%20No.%20323%20of%202025-%20Final-%2005.01.2026%20%28corrected%20on%2007.1.2026%29.pdf,2026-05-11T10:04:11.178534
d54e4e982c602e35,APPEAL No. 185 of 2018,https://aptel.gov.in/sites/default/files/2026-01/Draft%20of%20Judgment%20in%20Appeal%20No.185%20of%202018-%20Final-%2007.01.2026%20%28after%20correction%20on%2007.01.2026%29.pdf,2026-05-11T10:04:14.178781
25038e9bbd27ba9c,RP No. 25 OF 2025 & IA No. 1680 OF 2025,https://aptel.gov.in/sites/default/files/2026-02/10%20RP%20No%2025%20OF%202025.pdf,2026-05-11T10:04:17.641292
c60afbb0d169e562,RP No. 24 OF 2025 & IA No. 1679 OF 2025 & IA No. 1598 OF 2025,https://aptel.gov.in/sites/default/files/2026-02/9%20RP%20No%2024%20OF%202025.pdf,2026-05-11T10:04:20.886900
140174a0ae4097d3,RP No. 22 OF 2025 & IA No. 1592 OF 2025,https://aptel.gov.in/sites/default/files/2026-02/8%20RP%20No%2022%20OF%202025.pdf,2026-05-11T10:04:24.512335
c464a6a2e74ed4d1,APPEAL NO. 401 OF 2018,https://aptel.gov.in/sites/default/files/2026-01/Final%20Judgment%20in%20Appeal%20No%20401%20of%202018.pdf,2026-05-11T10:04:26.962899
d5a39e39d91f456e,APPEAL No. 431 of 2019,https://aptel.gov.in/sites/default/files/2026-01/Apl%20431%20of%202019.pdf,2026-05-11T10:04:29.483485
caed3bdcee2f677d,APPEAL NO.23 OF 2018,https://aptel.gov.in/sites/default/files/2026-05/J%20APL%2023%20OF%202018.pdf,2026-05-12T08:03:45.519044
